rcjs.rcjs.second_pagetitle,Aluguel de Carros Rentcars. O maior portal de locações de carros do Brasil
rcjs.returnSecondPage,Retornar à página inicial
rcrest.second.bestpriceguarResume,Melhor Preço!
rcrest.second.onlinebooking,Reservas Online
rcrest.second.rentcars_in_p,Aluguel de carros nos
rcsite.second.5offinbillet,5% de Desconto<br> Adicional no Boleto
rcsite.second.7days,"7 dias, a partir de"
rcsite.second.aboutus,Sobre nós
rcsite.second.accessyraccount,Acesse sua Conta
rcsite.second.advrentcars,Vantagens Rentcars
rcsite.second.affiliatesrentcars,Afiliados Rentcars.com
rcsite.second.appboxtop_apprentcars_title,App Rentcars.com para iPhone e Android grátis.
rcsite.second.apprentcars,Aplicativo Rentcars.com
rcsite.second.apprentcars_android,App Rentcars.com grátis para Android
rcsite.second.apprentcars_iphone,App Rentcars.com grátis para iPhone
rcsite.second.authorizingoffers,Autorizando o envio das melhores ofertas...
rcsite.second.banner_discountedoff,Até <strong>60% mais barato!</strong>
rcsite.second.banner_discountedoff1,Até 60% de
rcsite.second.banner_discountedoff2,desconto
rcsite.second.banner_discountedoffdetail,"Nosso desconto é baseado na tarifa balcão da locadora s/ desconto, ou seja, é comparado com o preço praticado nas lojas físicas."
rcsite.second.banner_discountedoffint,<strong>5% de desconto</strong> no Boleto
rcsite.second.banner_discountedoffintdetail,Desconto exclusivo para reservas internacionais. Consulte as condições de pagamento ao emitir sua reserva online.
rcsite.second.banner_discountedoff_text,Aluguel de carro com até 60% de desconto nas principais cidades e aeroportos no mundo.
